model,horizon,mae,rmse,mape
1D-CNN,1,5372.1962890625,6987.767597738208,14.24298
1D-CNN,3,14000.1005859375,16437.927849945077,37.510906
1D-CNN,7,11314.103515625,13475.472830294304,30.105282
RNN,1,8547.7099609375,11470.94834789173,20.545752
RNN,3,9082.38671875,12583.656702246768,21.204823
RNN,7,13607.0390625,16113.52723645571,36.00029
LSTM,1,27645.603515625,30542.156047011482,77.765305
LSTM,3,12424.25390625,15465.84831168339,31.660318
LSTM,7,10230.779296875,12710.76520119855,26.361195
Transformer,1,28017.939453125,31058.61709735319,78.49236
Transformer,3,26860.21484375,29994.055944470063,74.68641
Transformer,7,24440.900390625,27790.05865413026,66.7891
